text,label
@user Bono... who cares. Soon people will understand that they gain nothing from following a phony celebrity. Become a Leader of your people instead or help and support your fellow countrymen.,0
@user Eight years the republicans denied obama’s picks. Breitbarters outrage is as phony as their fake president.,1
@user Get him some line help. He is gonna be just fine. As the game went on you could see him progressing more with his reads. He brought what has been missing. The deep ball presence. Now he just needs a little more time,0
@user @user She is great. Hi Fiona!,0
@user She has become a parody unto herself? She has certainly taken some heat for being such an....well idiot. Could be optic too  Who know with Liberals  They're all optics.  No substance,1
"@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user This is the VetsResistSquadron"""" is Bullshit.. They are girl scout veterans, I have never met any other veterans or served with anyone that was a gun control advocate? Have you?""""",0
@user Your looking more like a plant #maga #walkaway,1
@user @user Lol. Except he’s the most successful president in our lifetimes. He’s undone most of the damage Obummer did and set America on the right path again. #MAGA,0
@user Been a Willie fan since before most of you were born....LOVE that he is holding a rally with Beto.... Exactly WHICH fans are furious?  Could you give some specifics?,0
@user Here's a link to my channel with a plethora of topics to peruse:,0
@user Antifa would burn a Conservatives house down and CNN would be there lighting the torches & throwing gas on the flames.,1
"@user They cite Jones being banned for violating Twitter's ToS. There are blue checkmarks spewing the same, if not worse, kind of shit. If you are going to play the anyone can get banned"""" card. Shouldn't these people also receive bans and suspensions? #VerifiedHate""""",1
@user Friend ordered 100 pair of Levi’s and then called to cancel! Over Gun control! Wow getting wild!,0
@user @user Lmfaoooooo,0
@user Goodell should have been fired over a year ago. Looks like the owners will let him steer the ship right into the iceberg. Oh well.,0
@user @user This is a common message from liberals and Democrats.   Remember Nancy Pelosi we have to approve the health care package -Obama care and then we’ll see what’s in it afterwards🤔,0
@user also shitbiscuit stole most of the Tempe girls u can't blame that on me..,1
"@user @user Well, see, if I start talking at Dana about sensible gun control laws and she ignores me (or calls me a tragedy dry-humping whore"""" as she did @user then we aren't having a conversation. I'm just talking into the void.""""",1
@user @user You mean the way Hillary re-victimized all of Bills accusers?,0
GREAT COMEDY THERE CNN - NEWS?  NOT SO MUCH!  #MAGA!  #LICENSEREPORTERS!,0
@user You are so fragile. It must be hard to live that way.,0
@user All you do is lie. All congress does us lie.  MAGA.,1
@user Freudian slip.,0
@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user He also clarified that there is the water birth when we are physically born. Then there is the spiritual birth which is obviously when we spiritually die to our sinful flesh and be reborn sinless after being cleansed by His blood at salvation when our sin debt is paid! Praise God,1
@user @user Why are you wasting time replying on twitter (trolling) on behalf of people making under that amount?  Seems like someone is just a propaganda pusher...or likes gloating to other #MAGA's that they got screwed by Trump.,1
@user We had Leveon Bell. Thats the dumbest argument. But we can compare college for when he played. His best season was 1700 yds 26 TDs. How about Collins? And this is Conners first year starting and he is starting much better than Collins,1
@user @user SHE IS A FUCKING MESS!! I HATE HER SO MUCH,1
@user He is so underrated and I love how pure he is as a person,0
@user Haha we set then 😂,0
@user he is a psychic ain’t he,0
@user I was think she jisoo but I’m Focused I found she is taeyoun,1
@user I am stunned that you are giving this guy airtime. Stunned.,0
@user She Wants Gun Control? Figures,0
@user @user @user Didn't see him matching with antifa tbh,0
@user @user @user And conservatives are no longer conservatives why do you think Maxime Bernier has started a new party that will follow original Conservative values.,0
@user Holy shit I love her???,1
@user @user @user Can you let him know?,0
@user @user @user @user @user @user Sir it comes to something when you present a lie as a fact.... Have you no shame? This is the fact 65% of labour voters voted to Remain. Ref YouGov polls. Your position is based on a false premise......have a nice day,0
@user @user A stark reminder that @user and you are trying to con us with chequers and a bit of our waters back - not good enough - @user @user  @user @user @user @user @user @user appeasing is not a good look @user,0
@user @user WHERE'S holier than thou @user  Sippin wine in the shade somewhere...  #MAGA,0
@user I can’t cuz that nigga retarded smh,1
9 factory workers gunned down in Iowa City with 20-gauge Winchester pump-action shotgun. The NRA blames gun control laws.,1
@user So the overwhelming liberals in the populated states can make policy for the rest of America with whom they have no clue about.  Just because California has the biggest population does not mean the U.S. shares in their values.  Get a clue Hillary.,0
@user Berkeley Antifa do not agree with you,0
@user He is quite good at faking. Must have done it numerous times,1
@user We do have a few outages reported in Toronto.   Here's a link to our outage map to see if you are in one of the defined spots - -SC,0
@user @user What new gun control laws would you like to see passed and what would they accomplish?,0
Take Take Take #WalkAway from the #idiot party! #MAGA,1
@user @user You are so correct the Democratic party for slavery and pro-nazi gun control,1
@user @user @user She did it and she is alive is greatness of Hinduism. You should try it with Quran if you have guts.,0
@user @user Prove your claim or be exposed as the lying piece of shit you are.   Meanwhile...,1
@user Get shit poppin,1
@user She says no. You are now sad. She then realizes what you might actually mean. She slaps you. She says no. Now you are sad AND your face hurts.,1
@user Eric Holder should've been in his 2nd yr at Gitmo. What's the update on Gitmo's expansion?  Why is he still breathing in our freedom air?,0
@user All we ever hear from Hillary is beeching & moaning.  Dang ! That witch never get tired of complaining!,1
@user Come on CNN.  He literally introduced himself.  The guy is a public figure for gun control.  Call him out!,1
@user @user I didn't know Oprah Winfrey knew how to play tennis. .. 😱,0
@user @user @user She is a walking talking lie..  that’s why.,1
@user She is so cute ♡,0
@user Holder is responsible for selling guns to the Mexican cartel. Just another Obama administration law breaker.,1
@user @user Sounds to me like the Pope needs counselled on confession.,0
@user Better than what? Truth? Politicians have never been good at that. My America is better than Flake.,1
@user @user That so many “thoughtful conservatives” who rushed to Kavanaugh’s defense didn’t consider  their own statements re: black teenagers tells you everything about how “thoughtful” they truly are.,0
