text,label,stance
we remind ourselves that love means to be willing to give until it hurts - Mother Teresa,1,abortion
"@user @user and most Islanders have different definitions of ""timely access"". #irony #peipoli #peivotes",0,abortion
"Life is #precious & so are babies, mothers, & fathers. Please support the sanctity of Human Life. Think #SemST",1,abortion
@user too many people are taking this to seriously #SemST,0,abortion
Dude i won a #freeshirt from @user ! I never win anything lol #Abort73 #SemST,0,abortion
Like ya'll can try and push your views on me anyway but I will remain #SemST,0,abortion
Just because it is legal doesn't make it God honoring #SameSexMarriage #180themovie #AudacityMovie #SemST,0,abortion
@user maybe that's what he wants #SemST,0,abortion
If being in a mother's womb isn't safe I guess neither are churches; specifically black ones #WhoIsBurningBlackChurches #SemST,1,abortion
"@user @user Nothing to do with me.  It's not my choice, nor is it yours, to dictate what another woman chooses. #feminism #SemST",2,abortion
So ready for my abortion debate  #SemST,0,abortion
@user @user @user Yup. One of the MANY reasons I changed parties. #SemST,0,abortion
@user  Rock on girl!  We all know #AbortionIsMurder.   #SemST,1,abortion
it's ironic that ppl will perform lifesaving therapies on animals to preserve their lives-but have staunch views in favor of #SemST,1,abortion
WH: Motherhood's a Wage Penalty. So we pay em to have kids & we pay em to kill premature babies. WTF's point here libs? #PJNET #SemST,1,abortion
"@user No. It's absurd to refer to healthcare that saves pregnant people's lives as ""killing. #SemST",2,abortion
Joining us in studio is Amos and Josh on Music and Career with Kobi Kihara #Bands #SemST,0,abortion
@user They abort millions of their possible progressives for the future. #Downfall #SemST,1,abortion
"'Cursed be anyone who takes a bribe to shed innocent blood.' And all the people shall say, 'Amen.'  Deuteronomy 27:25 #dropsmic #SemST",1,abortion
"Does a #pregnant #woman have 2 heads, 2 hearts, 4 arms, and 4 legs? #prolifeyouth #prolifegen #didntthinkso #SemST",1,abortion
"@user He's not concerned about women's health, it's all about control. Stay outta my lady parts, Mr. Patrick! #SemST",2,abortion
@user Pray?? You want me to PRAY that abortions and dangerous facilities remain unchecked?? #facepalm #SemST,1,abortion
@user defunding PP won't mean fewer abortions. It will mean more dead women. #SemST,2,abortion
"How dare you say my sexual preference is a choice, how dare you say dismembering my preborn isn't. #liberalism #SemST",1,abortion
"A pregnancy, planned or unplanned, brings spouses,families & everyone closer to each other. #Life is beautiful! #USA #SemST",1,abortion
Thr r no rights w/o responsibilities. The rt 2 bodily autonomy comes w/ the responsibility 2 care 4 1's unborn child #ProLifeYouth #SemST,1,abortion
Excellent 'speed-dating' #ethics discussion today in Yr9 class #morality #SemST,0,abortion
"@user second out of wedlock pregnancy and you don't want a lecture, you just want to give them? STUNNNG. #SemST",0,abortion
@user I don't either. Why would you want to make people have kids? Esp when they're not prepared? Makes no sense.,2,abortion
#DonRients: people aren't just killed by guns.  9 people died and that's sad.  But how many die daily from #abortion? #SemST,1,abortion
What is it that makes the human race behave in an undignified way to gain attention? #furgison #prideparade #potus #isis #lgbt #SemST,0,abortion
Progress for #AfricanAmericans check. Progress for #Gay people check. Progress for #Women. Waiting waiting waiting.... #SemST,2,abortion
@user @user & yet Amnesty advocates child murder! #SemST,1,abortion
Kudos to the mentality that believes people who are dumb enough to not use protection are 'mature enough' to take care of a baby. #SemST,2,abortion
@user make their own decisions doesn't mean you need to harass me . Goodbye now. #freedom #SemST,0,abortion
RT @user Consenting to sex is not consenting to being pregnant!!! Like!!! No!!!! #SemST,2,abortion
"RT @user ""It seems to me clear as daylight that abortion would be a crime."" -Ghandi  #ProLifeYouth #SemST",1,abortion
Even the #smallest #person can change the course of the #future.youthgen #SemST,1,abortion
"The people who never spoke up against the Nazis during World War II were likely ""live and let live "" people. #fb #SemST",0,abortion
"We say God bless America but we kill 4,000 babies a year. #SemST",1,abortion
@user @user I'm done with the convo. But before I go. #SemST,0,abortion
@user He who wears the shoes knows where it hurts but I'm Pro-life. #TheReadClub #SemST,1,abortion
"@user Now you are not even sense. And, once again, abortion is not healthcare. With every abortion at least one human lies. #SemST",1,abortion
What the leftists are doing is putting all Americans in danger! #tcot #UniteBlue #LoveWins #LGBT #SCOTUS #SemST,0,abortion
"I don't plan on ever having an abortion, but here's the thing ...I don't think anyone ever PLANS on it. #SemST",2,abortion
If it's getting old maybe you should stop calling embryos & fetuses babies. #SemST,2,abortion
How can there be too many #children? That is like saying there are too many #flowers -Mother Teresa #prolifeyouth #SemST,1,abortion
@user What is postinor popularly used for? #SemST,0,abortion
"@user @user At the same time, this decision ISN'T always a difficult one. Don't let #antichoice guilt-trip people. #SemST",1,abortion
"@user Premise is wrong. Nothing on earth has a ""right"" to use someone's body w/out consent. #rapeculture #SemST",2,abortion
"Anti-vaxxers are such an idiotic bunch... Seriously, guys. Vaccinate. Your. Kids. #stopsb277 #conformcomics #marvel #dc #SemST",0,abortion
Too far? Sorry so is he,0,abortion
But isn't that the problem then. Not enough faith. #gaystapo #socialism,0,abortion
Since #roevwade 1/3 of my #generation has been #aborted. Where were their #rights?youthgen #SemST,1,abortion
Agree choice if woman's life in danger.  But rape - does the baby deserve death for crime of his/her father? @user #SemST,1,abortion
"Yep. RT: ""Defunding PP won't mean fewer abortions. It will mean more dead women. #prochoice"" #1in3",2,abortion
PRAYERS FOR BABIES Urgent prayer in Detroit MI ...two in San Diego CA&one in San Antonio  Life begins at conception  #SemST,1,abortion
#ProLifeYouth know that life begins at conception. #SemST,1,abortion
"@user I would consider this, to be dispersal of a chemical weapon, one that kills children. #SemST",1,abortion
If you want #Equality then let ALL the babies live!! #SemST,1,abortion
"Your body belongs to you. It doesn't belong to the church, the state or an embryo. #SemST",1,abortion
Just owned a woman who works for planned parenthood. #factsonly #SemST,1,abortion
coffee out the nose or down the windpipe... next time... we're going for out the nose #thoughtiwasgonnadie #SemST,1,abortion
@user @user @user Abortion is NOT illegal and I would never judge a woman for making that choice. #SemST,2,abortion
I had a word with some of the antiabortion protestors. Calmer after buying bi pride colour yarn for a friend & I. Haberdashery <3 #SemST,1,abortion
abortion clinics... back alleys with a profit center and air conditioning?  #SemST,1,abortion
@user @user Being #Gay is a #Choice Just like #SemST,0,abortion
I don't hate LGBT but I disagree with same-sex marriage. #SacramentofMatrimonyisSacred #SemST,0,abortion
@user  SinnFein voted to kill unborn sick children #SemST,1,abortion
Demand the Senate vote to ban painful late-term abortions. Use your voice to help hold the Senate accountable. #bluemoon #SemST,1,abortion
Follow #Patriot --> @user  Thanks for following back!!  #Truth #Liberty #Justice #ProIsrael #WakeUpAmerica #FreeAmirNow #SemST,0,abortion
#ProLifeYouth know that human life in the womb is as valuable as human life outside the womb. #SemST,1,abortion
"Because as long as we're ending innocent lives, love has won nothing. #SemST",1,abortion
Rise & Shine its a new day & you're alive. Thank God 4 another day of precious life. #Christian #Catholic #TeamJesus,1,abortion
"Bristol Palin doesn't want any lectures, you guys. That's her job. #hypocrisy #15minutes #SemST",0,abortion
The right to control one's body is not a license to kill.Youth #SemST,1,abortion
They haven't eliminated #murder. They just call it by a different #name. #prolifeyouth #prolifegen #SemST,1,abortion
@user forcing women to change their body's normal function is the epitome of controlling women. #SemST,1,abortion
Don't see the big deal about all this #SemST,1,abortion
@user @user @user @user Bad analogy. The current time frame for abortion is the best compromise  #SemST,1,abortion
"We can be the generation that ends abortion. I don't care whose toes we step on or who we offend, it's time to put an end to #SemST",1,abortion
@user @user Not possible. #BristolPalin doesn't believe in #SemST,0,abortion
@user Don't Let Obama Control Your Actions. Progressives have destroyed the Black Community #LBJ #Clintons #Drugs #SemST,0,abortion
.@RebeccahLouise I'm not forcing anyone to do anything. Abortion is not 'medical help' & there are better options. Very proud to be #SemST,1,abortion
WORLDWIDE R.E. Agents! - Support a ProLife Group (U-choose) at NoCost ProLifeRealEstate@Yahoo.com #SemST,1,abortion
Patient advocate Stephen Casey of Texas Center for Defense of Life strongly supports #HB3074. #TXlege #SemST,1,abortion
"@user Yes, heard you the first 500 times you tweeted SIX kids. she is probably also #SemST",0,abortion
"HOW COULD I DIE BEFORE EVEN I BORN,TO YOU I AM JUST TINY LITTLE THING THAT DOESN'T MATTER #SemST",1,abortion
Girls don't want boys. Girls want #SemST,0,abortion
@user good riddance to millions of black babies? I really hope I'm misunderstanding you #SemST,1,abortion
@user No Such Thing As An Unforced #ProlifeYouth #SemST,1,abortion
They may need to figure out how to get out of school or work that day. #SemST,0,abortion
Murdering an unborn child is the crudest form of contraception! #Catholic #Christian #Conservative #feminist #SemST,1,abortion
If it isn't a #human life then why does @user have a problem with us?youth #itisahumanlife #SemST,1,abortion
"Just a reminder, don't take your eyes off #SCOTUS yet #reprohealth is still on the line. #womensrights #ReproJustice #reprorights #SemST",2,abortion
"A needed, safe medical procedure is available to women. Unfortunately, RW men say they should make women's decisions. Sad, huh? #SemST",2,abortion
Up at this ridiculous hour to #protectthezone.  #Alabama #SemST,0,abortion
"(3/3) So when @user tells you MLK was #prolife, they're lying. (Their gullible followers r likely just misinformed). #UniteBlue #SemST",0,abortion
@user @user Captors have already been born and are no longer part of the body of a pregnant woman. That's the difference. #SemST,2,abortion
RT @user Who's yer man in the #dail talking about bullying? The only bullying was Fine Gael bullying their own members! #SemST,0,abortion
Watching teen mom and watching Farrah be a bitch makes me believe in abortion that much more. #SemST,2,abortion
@user @user is a seven pound baby murderer. Too bad her Mom didn't have the same operation. #Baby #Democrats #Losers #SemST,1,abortion
Well that's a win for women in Texas. Thank you SCOTUS! #texas #SemST,2,abortion
"Jesus loves the children of the world, the born and the unborn.Youth #SemST",1,abortion
"because it is settled that [abortion] is constitutional, it necessarily follows that there must be a means of carrying it out. #SemST",1,abortion
Inching toward diabetes while supporting @user at #ChocolateMadness 2015. #mapoli #SemST,2,abortion
"@user And I explained that they are in the keep your baby business, as they helped me get Medicaid and WIC. #SemST",1,abortion
Ever notice how ppl like Cruz  who say they love the Constitution  are always the ones who want to change it? #ACA #GayMarriage #SemST,0,abortion
#Liberals don't realize they conceded the debate. Now - per Shaw - we are just going to haggle over price.   #Idiots #SemST,0,abortion
"If men could get pregnant, abortion clinics would be like Starbucks #SemST",1,abortion
people in the government care more about words in a bible than women and their bodies #SemST,2,abortion
@user how do you plan 2 endorse @user @user who'd not b able 2 run 4 fed @user #peipoli #SemST,0,abortion
@user if every child matters regardless of skin color? why do we as a nation continuously keep aborting them? #AllLivesMatter #SemST,1,abortion
"Hillary wants to be a champion for women, unless they're unborn.  #SemST",1,abortion
"When you abort a baby, you don't just abort one person ...you abort generations. #SemST",1,abortion
"@user because it's not your baby, body or decision, nor does it effect your life in any way. So it's none of your business. #SemST",2,abortion
"Mary, Help of Christians persecuted everywhere, pray for us!  #HolyLove #UnitedHearts #MaranathaSnS #profamily #1m1w #marriage #SemST",1,abortion
@user I also support Men's wrongs as well as Women's rights #Standforchoice #womensrights #SemST,2,abortion
"If the fetus isn't inside you, than shut up love #SemST",2,abortion
All of this has nothing to do w providing medical care - @user on TRAP regulations #scraptrap #SemST,1,abortion
On my way to Sweden! @user #womangolf #letsgooo #SemST,0,abortion
Time to make a change in my boxing style can u say @user style but still be great on my defense #beastmode #boxing #ximenez #SemST,0,abortion
@user that much more oppressive for women #SemST,0,abortion
A nation that kills it's own children is a nation without hope. -Pope Saint John Paul II #ProLifeYouth #AllLivesMatter #SemST,1,abortion
pro-life? no you're more pro-birth then after that the baby can support itself!!! #makesnosense #prowomen,2,abortion
#POTUS seals his legacy w/ 1/2 doz wins. The #GOP agenda? STILL!! Repeal #Gun laws & #Obamacare Ban Access 2 #TotalLosers #NoIdeas #SemST,1,abortion
@user @user @user you know what massively reduces abortion? Sex education and access to birth control. #SemST,2,abortion
A woman who deliberately destroys a fetus is answerable for murder.-St. Basil the Great #SemST,1,abortion
Never during a pregnancy does a pregnant person's body cease being their own. Support bodily autonomy. Be #SemST,1,abortion
#SCOTUS blocking part of our Texas Anti-Abortion law.  Maybe we should call them the Supreme Tyrant.  #tcot #tgdn #SemST,1,abortion
She*  knows what's best for her* happiness & her* body #SemST,2,abortion
Why do we think we can outsmart #satan when he has been at it for over thousands of years? #scotus #marriage #isis #LoveWins #SemST,0,abortion
@user @user @user Abortion Workers Charged with Manslaughter After Another Woman Dies From #SemST,1,abortion
Let's agree that it's not ok to kill a 7lbs baby in the uterus @user #DNC #Clinton2016 @user #ProCompromise #SemST,1,abortion
@user putting abortion in with choices for women just won my heart over. Yaaaaaas! #shahs,2,abortion
@user because that 9% utilized that wonderful gift of choice (#proChoice). #SemST,1,abortion
I am 1 in 3... I have had an abortion #AbortionOnDemand #MenstruationMatters #SemST,1,abortion
Bodily autonomy is a human right. A person's access to abortion is a human right. #reprojustice #reprorights #SemST,2,abortion
@user When we #PrayTheRosary lest we forget to #Prayforpersecutedchurch #PrayForIsrael #PrayForUkraine,0,abortion
How can a kingdom founded in violence long control the vice that brought it n2 existence? <-- commentary on Judges9 @user #SemST,0,abortion
RT @user The single most important factor for women's advancement in society is our ability to control our fertility. #SemST,2,abortion
Parents have left their role to the teachers! Parents need to have skills to reach out to their own children it's important! #SemST,0,abortion
Bigger problems 4 #Christians than same sex #marriage: #worldhunger #cleanwater #sextrafficking #slavelabor #womensrights #thelost #SemST,0,abortion
Help your friend figure out how they're going to get there and where to stay if they need to spend the night,0,abortion
Equality in the states is a nice step forward to a better America. #ProudToLove #SemST,0,abortion
"If Doctors used guns to perform abortions, would liberals then be opposed? #2A #liberallogic #SemST",1,abortion
"Life Fact: At just 9 weeks into a pregnancy, a baby begins to sigh and yawn. #LifeFact #SemST",1,abortion
@user Keep up the good work! They are nutters #SemST,0,abortion
They know what's best for their health They know what's best for their happiness They know what's best for their well being.. #SemST,2,abortion
"@user You're a historian? Of what , malice? Your hatred of her child is astonishing. #palin #SemST",0,abortion
RT @user Children are the greatest blessing which God has bestowed on man and woman. -Pope Francis #SemST,1,abortion
Pro-Choice is meaningless. Say what you mean. You stand for the right to choose to kill. #SemST,1,abortion
"Size,Level of development, Environment,Degree of dependency do not affect a human's value. . A fetus is a human being #ProLifeYouth #SemST",1,abortion
I'll always put all my focus and energy toward keeping people alive instead of deciding who gets to marry. #SemST,1,abortion
@user My @user is it 1973 already? #SemST,0,abortion
Pro-Life Legislative Day Party in Lansing today! See y'all there! #sopumpedgen #SemST,1,abortion
Children are the greatest blessing which God has bestowed on man and woman. -Pope Francis #LifeisaGift #SemST,1,abortion
@user @user But the Mayor of Baltimore said to give rioters to rioters. #BlackLivesMatter #Except2Democrats #Sanger,0,abortion
