text,label
"Sunday afternoon walking through Venice in the sun with @user ️ ️ ️ @ Abbot Kinney, Venice",12
"Time for some BBQ and whiskey libations. Chomp, belch, chomp! (@ Lucille's Smokehouse Bar-B-Que)",19
Love love love all these people ️ ️ ️ #friends #bff #celebrate #blessed #sundayfunday @ San…,0
Man these are the funniest kids ever!! That face! #HappyBirthdayBubb @ FLIPnOUT Xtreme,2
"#sandiego @ San Diego, California",11
My little ️ ️ ️ ️ ️ #ObsessedWithMyDog @ Cafe Solstice Capitol Hill,0
"More #tinyepic things #tinyepicwestern, this one is crazy @user I may be one of your…",19
Last night ️ @ Omnia Night Club At Caesars Palace,0
friendship at its finest. ....#pixar #toystory #buzz #woody #friends #friendship #bff…,7
I L VE working for a cause! Yesterday's balloon decor for SNN 11th Annual Back 2 School Health…,1
Dem shoes tho! Lol! ...I'm getting some! Get ready copleypriceymca…,2
"I love weekends with you, calebrancourt @ Cannery Row At Monterey Bay, CA",9
"Yesss! August is full of love and birthdays ️ @ Los Angeles,…",0
I took a pic with Eminem! *still not over that performance vibe from #parrisproject!…,1
I L VE working for a cause! Yesterday's balloon decor for SNN 11th Annual Back 2 School Health…,1
Sundays are all about the cute babies and dogs! #Ballard #sundaymarket #littelestmodel…,1
it was too hot .. trying to find shade behind @user at the roadraceengineering booth…,4
"Sometimes you just have to be a kid Skyspace, Los Angeles. #CRStylesTravel #FunDay #LALife…",19
"had an amazing night, with some pretty amazing people @ Pandora Summer",8
Thank you @user for an incredible night last night @ Shrine Auditorium & Expo Hall,7
thanks for the amazing night @ Pandora Summer,8
@user draw the line ~,5
This is why I hate when Taylor visits #Bunny #NotCaturday @ Our House,2
"thank you to my boys for performing so well last night, I love you all very much @ Pandora…",8
2nd theater and 3rd movie of the day a new record #badmoms #suicidesquad #sausageparty (at @user,2
"In honor of #happygayunclesday ️ #happygunclesday #guncle #guncles @ Chula Vista, California",0
"I think it's nap time for us @ Los Angeles, California",1
I L VE working for a cause! Yesterday's balloon decor for SNN 11th Annual Back 2 School Health…,1
Chasing #mclarenp1 in Malibu today.________________________________________ : credit: @user,10
Sunday afternoon at home! Drinking good wine and enjoying this incredible view to the sound of…,8
"#Lunch @user best #Ribs in #SanDiego (at @user in San Diego, CA)",14
"Here's to the start of a great adventure. Niners today, Alaska tomorrow. #grams @ Levi's Stadium",1
Really horrible seats for a really awful Sunday afternoon! Life is really bad #soundersfc.…,16
"Enjoy your last days of summer! Clearly, mauricethewhale is enjoying his! #ladykiller…",2
Surprised everyone by actually surviving a weekend in the wild (however still came close to…,14
In the zone | : @user #colorsworldwide #RnBOnly @ The Regent,18
“Me & Catherine Sutherland!!!” #PowerMorphicon2016 #PowerRangersZeo #PowerRangersTurbo…,6
Taped up and dripped out. Know what I'm talking bout #paint #painting #diy #homeimprovement…,6
"princesscruises @ Port of Seattle, Pier 91",8
"Stay classy #SanDiego (@ San Diego International Airport - @user in San Diego, CA)",14
I ️ the people I work with. Enjoying our Sunday watching the first…,0
Another big happy 18th birthday to my partner in crime ️ I love u and all the crazy times we've…,0
Day is DONE! Thank u INSTA-LIKERS! Rollicking day at FRINGE! C U THURSDAY~~~and then some .…,9
SnakeShred recording guitars for the new SnakeSkin record #guitar #recording #api #apipegged…,19
"My sisters, my best friends #hamessisters #andlewisandclark…",13
my absolute favorite place. @ La Jolla Cove Seal Beach,3
To live is an awfully big adventure #Seattle #spaceneedle @ Space Needle,8
Finally met Snow White ! She was my favorite when i was little :) #SnowWhite #Disneyland @user,0
"@user loved your coverage at TI as always, now need to get you on some of those Sounders matches...",16
Saturdayzzz w/ Lionel Richie @ Harvey's Outdoor Ampitheater,7
All the beautiful ladies that helped make last night #APositiveExperience @ Upscale Salon,7
Sunday funday indeed #sundayfunday #igers #igdaily #instalike #enjoylife #asian #LA…,6
"Lights, Camera, Action @ Hollywood Walk of Fame",6
Found your Unicorn @user it's a pillow/stuffed toy and every pride weekend it…,2
Harry Potter ️ @ TCL Chinese Theatres,0
My key was still here...thank the Lawd #littlehoneyvee #doodles #doodleoftheday #illustration…,0
